rank,code,year,journal,cites,doi,title,rules,note,openalex_id,has_abstract
197,DISP,2016,Journal of Political Ecology,57,10.2458/v23i1.20221,"The sociology of ecologically unequal exchange, foreign investment dependence and environmental load displacement: summary of the literature and implications for sustainability",R4 displacement term + cross-national cue,"Jorgenson 2016 JPE: literature summary of EUE, FDI dependence and load displacement; review, no new data (cf. Givens et al. 2019)",https://openalex.org/W2618067250,True
198,EX3,2021,Sustainability,90,10.3390/su13041899,Circular Bioeconomy Business Models to Overcome the Valley of Death. A Systematic Statistical Analysis of Studies and Projects in Emerging Bio-Based Technologies and Trends Linked to the SME Instrument Support,R1 two+ pillars; R2 material term + cross-national cue,circular bioeconomy business models; bibliometric,https://openalex.org/W3128164993,True
199,EX1,2023,Energies,15,10.3390/en16176184,The Interplay of Green Technology and Energy Consumption: A Study of China’s Carbon Neutrality and Sustainable Digital Economy,R1 two+ pillars,China,https://openalex.org/W4386168392,True
200,EX3,2023,Sustainability,27,10.3390/su152014676,Tourism Degrowth: Painful but Necessary,R1 two+ pillars; R2 material term + cross-national cue,"tourism degrowth; conceptual, sectoral",https://openalex.org/W4387496850,True
203,EX2,2023,Nature Sustainability,113,10.1038/s41893-023-01130-8,Compensation for atmospheric appropriation,R4 displacement term + cross-national cue,"Fanning & Hickel 2023 atmospheric appropriation, 168 countries; carbon inequality; no technology indicator, not decoupling; adjacent to displacement",https://openalex.org/W4379469882,True
204,OFF,2016,Annals of Anthropological Practice,87,10.1111/napa.12084,Disaster vulnerability in anthropological perspective,R1 two+ pillars; R4 displacement term + cross-national cue,disaster vulnerability,https://openalex.org/W2544293211,True
205,EX1,2002,,25,10.18174/121358,Ecologizing industrialization in Chinese small towns,R1 two+ pillars,Chinese small towns,https://openalex.org/W2169701480,True
207,EX1,2011,Challenges,172,10.3390/challe2040073,Challenges and Opportunities in Transforming a City into a “Zero Waste City”,R1 two+ pillars; R2 material term + cross-national cue,"zero-waste city; urban, conceptual",https://openalex.org/W2149891385,True
209,EX2,2019,Sustainability,39,10.3390/su11102752,"Environmental Homogenization or Heterogenization? The Effects of Globalization on Carbon Dioxide Emissions, 1970–2014",R1 two+ pillars; R4 displacement term + cross-national cue,"globalisation dimensions -> CO2, 137 countries 1970-2014; EM vs EUE; no technology indicator, decoupling not assessed directly. Adjacent",https://openalex.org/W2945557658,True
210,OFF,2013,European Journal of Sustainable Development,171,10.14207/ejsd.2013.v2n1p171,Promoting Eco-innovations to Leverage Sustainable Development of Eco-industry and Green Growth,R1 two+ pillars,eco-innovation promotion essay,https://openalex.org/W1915344498,True
214,EX3,2018,Sustainability,108,10.3390/su10124453,Conceptualizing the Digital Sharing Economy in the Context of Sustainability,R1 two+ pillars,conceptual: digital sharing economy,https://openalex.org/W2903208610,True
215,EX1,2021,International Journal of Environmental Research and Public Health,13,10.3390/ijerph182111024,Exploring the Dependence and Influencing Factors of Carbon Emissions from the Perspective of Population Development,R1 two+ pillars; R2 material term + cross-national cue,30 Chinese provinces,https://openalex.org/W3206156824,True
221,OFF,2019,Water,23,10.3390/w11030411,Negotiating Water and Technology—Competing Expectations and Confronting Knowledges in the Case of the Coca Codo Sinclair in Ecuador,R1 two+ pillars; R4 displacement term + cross-national cue,Ecuador hydropower expectations,https://openalex.org/W2915859673,True
224,EX1,2020,Sustainability,150,10.3390/su122310191,Green New Deal Policy of South Korea: Policy Innovation for a Sustainability Transition,R1 two+ pillars,South Korea policy,https://openalex.org/W3111644277,True
233,EX2,2022,The Lancet Planetary Health,110,10.1016/s2542-5196(22)00092-4,Existing climate mitigation scenarios perpetuate colonial inequalities,R4 displacement term + cross-national cue,Lancet PH: IPCC scenarios perpetuate energy inequalities; global; no technology indicator; not decoupling. Adjacent,https://openalex.org/W4284992343,True
235,EX1,2018,Journal of World-Systems Research,19,10.5195/jwsr.2018.700,Geoeconomic Uses of Global Warming: The “Green” Technological Revolution and the Role of the Semi-Periphery,R1 two+ pillars,Argentina wind energy case; world-systems essay,https://openalex.org/W2789870312,True
242,EX1,2023,Environment Development and Sustainability,10,10.1007/s10668-023-04007-0,Study on the driving factors and decoupling effect of carbon emission from pig farming in China—based on LMDI and Tapio model,R1 two+ pillars; R2 material term + cross-national cue,China pig farming,https://openalex.org/W4388537935,True
244,PASS-borderline,2020,The Science of The Total Environment,201,10.1016/j.scitotenv.2020.141912,"Environmental performance, biocapacity, carbon &amp; ecological footprint of nations: Drivers, trends and mitigation options",R2 material term + cross-national cue,"STOTEN 2020: environmental performance, biocapacity, carbon and ecological footprint of nations; socio-economic drivers and convergence, cross-country time series. Technology indicator unclear; check at full text",https://openalex.org/W3080413620,True
245,OFF,2021,IEEE Access,274,10.1109/access.2021.3130030,"6G Vision, Value, Use Cases and Technologies From European 6G Flagship Project Hexa-X",R1 two+ pillars,6G vision,https://openalex.org/W3216069328,True
249,PASS,2021,Nature Sustainability,255,10.1038/s41893-021-00811-6,Implementing the material footprint to measure progress towards Sustainable Development Goals 8 and 12,"R3 no abstract, material term in title",Nature Sustainability 2021: implementing the material footprint to measure progress towards SDG 8 and 12 (no abstract available anywhere). Global MF accounting; very likely reports MF vs GDP trends by country = decoupling assessed directly. 255 citations. Full text needed,https://openalex.org/W4200083698,False
250,PASS-borderline,2016,International Journal of Operations & Production Management,60,10.1108/ijopm-05-2015-0266,Integrated resource efficiency: measurement and management,R1 two+ pillars; R2 material term + cross-national cue,"integrated resource efficiency index, 40 countries incl. 34 OECD; material and energy productivity vs social development; no technology indicator, decoupling only as productivity index. Low priority",https://openalex.org/W2515063842,True
252,DISP,2017,Journal of World-Systems Research,48,10.5195/jwsr.2017.731,Chocolate and The Consumption of Forests: A Cross-National Examination of Ecologically Unequal Exchange in Cocoa Exports,R4 displacement term + cross-national cue,"cocoa exports and deforestation, cross-national EUE regression; outcome deforestation",https://openalex.org/W2745249395,True
256,EX1,2018,Energy,151,10.1016/j.energy.2018.06.186,Whether China's industrial sectors make efforts to reduce CO2 emissions from production? - A decomposed decoupling analysis,"R3 no abstract, material term in title",China industrial sectors,https://openalex.org/W2809788748,True
258,EX1,2018,Economic Analysis and Policy,87,10.1016/j.eap.2018.11.003,Decoupling economic growth from GHG emissions: Decomposition analysis by sectoral factors for Australia,"R3 no abstract, material term in title",Australia sectoral decoupling,https://openalex.org/W2904854333,True
264,OFF,2023,Journal of city climate policy and economy,24,10.3138/jccpe-2023-0004,"Post-Growth, Degrowth, the Doughnut, and Circular Economy: A Short Guide for Policymakers",R1 two+ pillars,policy guide commentary,https://openalex.org/W4387771968,True
265,PASS,2019,Sociology of Development,15,10.1525/sod.2019.5.4.381,The Treadmill of Information,R1 two+ pillars,"Sociology of Development 2019 'Treadmill of information': ICT development -> CO2 (total and sectoral), 113 countries panel, multilevel growth model; EM vs treadmill framing. Strong candidate (cf. Bugden 2022)",https://openalex.org/W2993496297,True
269,THEORY,2019,Cambridge University Press eBooks,1,10.1017/9781108554985.006,Anticipating Degrowth,R1 two+ pillars,"Hornborg chapter, degrowth",https://openalex.org/W4211085733,True
270,OFF,2021,JCMS Journal of Common Market Studies,50,10.1111/jcms.13197,Sociotechnical Imaginaries of EU Defence: The Past and the Future in the European Defence Fund,R1 two+ pillars,EU defence imaginaries,https://openalex.org/W3130316293,True
279,EX1,2022,Frontiers in Energy Research,7,10.3389/fenrg.2022.794104,Directed Technical Change and Pollution Emission: Evidence From Fossil and Renewable Energy Technologies in China,R1 two+ pillars,"30 Chinese provinces, patents",https://openalex.org/W4220995210,True
281,EX3,2022,Environment Development and Sustainability,44,10.1007/s10668-022-02356-w,Driving factors of e-waste recycling rate in 30 European countries: new evidence using a panel quantile regression of the EKC hypothesis coupled with the STIRPAT model,R1 two+ pillars,"e-waste recycling rate as outcome, 30 European countries; not throughput/emissions",https://openalex.org/W4225406390,True
283,PASS,2021,Global Environmental Change,104,10.1016/j.gloenvcha.2021.102410,Prospects for a saturation of humanity’s resource use? An analysis of material stocks and flows in nine world regions from 1900 to 2035,R2 material term + cross-national cue,"Global Environmental Change 2021: material stocks and flows, 14 bulk materials, nine world regions 1900-2035; saturation of resource use assessed directly. Strong candidate",https://openalex.org/W3213160484,True
284,INCLUDED,2013,PLoS ONE,160,10.1371/journal.pone.0070385,Development and Dematerialization: An International Study,R2 material term + cross-national cue,Steinberger et al. 2013 - already in corpus (known-item),https://openalex.org/W2133907326,True
285,THEORY,2019,Sustainability,43,10.3390/su11143852,Work and Social-Ecological Transitions: A Critical Review of Five Contrasting Approaches,R1 two+ pillars,critical review of work and social-ecological transitions,https://openalex.org/W2962216381,True
286,PASS,2022,Energies,59,10.3390/en15093390,"Renewable Energy, Urbanization, and CO2 Emissions: A Global Test",R1 two+ pillars,"163 countries 2000-2016: renewable energy, urbanisation, patents -> CO2 (FE, system GMM). Genre; criteria met",https://openalex.org/W4229069547,True
287,EX3,2016,Sustainability,33,10.3390/su8040373,A Systemic and Systematic Approach to the Development of a Policy Mix for Material Resource Efficiency,R1 two+ pillars; R2 material term + cross-national cue,policy-mix design for EU material efficiency; no empirical outcome,https://openalex.org/W2338357461,True
288,THEORY,2019,,85,10.1017/9781108554985,"Nature, society, and justice in the anthropocene unravelling the money-energy-technology complex",R4 displacement term + cross-national cue,Hornborg 2019 book (money-energy-technology complex),https://openalex.org/W4211235122,True
290,OFF,2020,Critique of Anthropology,20,10.1177/0308275x20959419,Waiting for a deus ex machina: ‘Sustainable extractives’ in a 2°C world,R1 two+ pillars,"ethnography of oil executives' techno-optimism; interpretive, relevant to expectations but no biophysical outcome",https://openalex.org/W2970906782,True
296,DISP,2009,International Sociology,73,10.1177/0268580908099156,"Political-Economic Integration, Industrial Pollution and Human Health",R4 displacement term + cross-national cue,"EUE/FDI dependence test on industrial water pollution, LDCs 1980-2000; no technology indicator",https://openalex.org/W2069332984,True
299,THEORY,2003,Journal of Ecological Anthropology,57,10.5038/2162-4593.7.1.1,The Unequal Exchange of Time and Space: Toward a Non-Normative Ecological Theory of Exploitation,R4 displacement term + cross-national cue,Hornborg 2003 unequal exchange of time and space,https://openalex.org/W2006081504,True
301,OFF,2017,Maritime Policy & Management,19,10.1080/03088839.2017.1299236,Environmental reform of West and Central Africa ports: the influence of colonial legacies,R1 two+ pillars,"African ports, ecological modernisation",https://openalex.org/W2594514630,True
302,PASS-borderline,2023,Sustainable Development,6,10.1002/sd.2648,Material demand and material efficiency for sustainable development in the European Union countries: A stochastic frontier analysis,R1 two+ pillars; R2 material term + cross-national cue,"EU countries 1995-2019: determinants of material demand (DMC) and material-efficiency performance via stochastic frontier. Cross-national, material outcome; technology indicator unclear (growth and energy consumption as drivers). Check full text",https://openalex.org/W4382723195,True
303,EX1,2015,Environmental Sociology,11,10.1080/23251042.2015.1008384,Climate governance in the post-industrial city: the urban side of ecological modernisation,R1 two+ pillars,Genoa,https://openalex.org/W1978964746,True
304,THEORY,2010,Theory Culture & Society,124,10.1177/0263276409359018,"Climate Change, Social Theory and Justice",R4 displacement term + cross-national cue,"climate change, social theory and justice",https://openalex.org/W2075997322,True
305,OFF,2022,Energies,81,10.3390/en15239028,"Social Innovation, Circularity and Energy Transition for Environmental, Social and Governance (ESG) Practices—A Comprehensive Review",R1 two+ pillars,ESG review,https://openalex.org/W4310387338,True
308,EX1,2018,Polish Journal of Environmental Studies,51,10.15244/pjoes/77610,"STIRPAT-Based Driving Factor Decomposition Analysis of Agricultural Carbon Emissions in Hebei, China",R1 two+ pillars,"Hebei, China",https://openalex.org/W2793563491,True
309,OFF,2021,Tarım Bilimleri Dergisi,170,10.15832/ankutbd.986431,Digital Transformation for Sustainable Future - Agriculture 4.0 : A review,R1 two+ pillars; R2 material term + cross-national cue,Agriculture 4.0 review,https://openalex.org/W3213590424,True
311,THEORY,2017,Journal of World-Systems Research,40,10.5195/jwsr.2017.669,Splintering South: Ecologically Unequal Exchange Theory in a Fragmented Global Climate,R4 displacement term + cross-national cue,EUE theory and climate negotiations,https://openalex.org/W2743178718,True
318,EX1,2014,Sustainability,86,10.3390/su6106729,Decoupling Economic Growth and Environmental Degradation: Reviewing Progress to Date in the Small Island State of Malta,R2 material term + cross-national cue,Malta,https://openalex.org/W1967944648,True
322,OFF,2010,Local Environment,35,10.1080/13549839.2010.487526,Involving citizens in sustainable development: evidence of new forms of participation in the Danish Agenda 21 schemes,R1 two+ pillars,Danish Agenda 21,https://openalex.org/W2087353257,True
324,THEORY,2024,Global Environmental Change,21,10.1016/j.gloenvcha.2024.102946,A globally just and inclusive transition? Questioning policy representations of the European Green Deal,R1 two+ pillars; R4 displacement term + cross-national cue,"European Green Deal discourse and raw materials; interpretive, relevant to Section 6",https://openalex.org/W4403910911,True
329,EX1,2020,Journal of Cleaner Production,66,10.1016/j.jclepro.2020.125450,A framework of indicators for associating material stocks and flows to service provisioning: Application for Japan 1990–2015,R2 material term + cross-national cue,Japan material stocks and flows,https://openalex.org/W3112140862,True
330,THEORY,2018,International Journal of Sociology and Social Policy,25,10.1108/ijssp-03-2018-0035,Paradigms and paradoxes: the futures of growth and degrowth,R1 two+ pillars,growth/degrowth storylines,https://openalex.org/W2889341262,True
331,EX2,2013,Climate Policy,196,10.1080/14693062.2013.811333,Drivers of national climate policy,R4 displacement term + cross-national cue,"drivers of national climate policy; no technology indicator, no decoupling test",https://openalex.org/W2086977164,True
334,THEORY,2023,Frontiers in Sustainability,15,10.3389/frsus.2023.1178089,The induction effect: why the rebound effect is only half the story of technology's failure to achieve sustainability,R1 two+ pillars,induction effect (rebound); conceptual with three cases,https://openalex.org/W4386859866,True
341,OFF,2015,,65,,"Environmental Justice, Human Rights, and the Global South",R1 two+ pillars; R4 displacement term + cross-national cue,environmental justice and human rights,https://openalex.org/W216344673,True
344,EX1,2021,Polish Journal of Environmental Studies,6,10.15244/pjoes/128585,Assessing the Green Growth Trajectory throughResource and Impact Decoupling Indices:The Case of Poland,R1 two+ pillars,Poland,https://openalex.org/W3127913593,True
347,THEORY,2016,Environmental Sociology,8,10.1080/23251042.2016.1229592,Conceptual lenses to bring into focus the blurred and unpack the entangled,R1 two+ pillars,"conceptual lenses, environmental sociology",https://openalex.org/W2527176584,True
348,PASS,2023,Resources Policy,30,10.1016/j.resourpol.2023.103776,Heterogenous influence of productive capacities pillars and natural resources on ecological sustainability in developing Belt and Road host countries,R1 two+ pillars; R2 material term + cross-national cue,"Belt and Road host countries 2000-2018: productive-capacity indices incl. ICT, technological innovation -> emissions (Sys-GMM, FGLS). Genre",https://openalex.org/W4381548479,True
349,PASS,2018,Socius Sociological Research for a Dynamic World,44,10.1177/2378023118772716,Can Reducing Income Inequality Decouple Economic Growth from CO<sub>2</sub> Emissions?,R2 material term + cross-national cue,"Socius 2018: income inequality moderates growth-CO2 coupling, developed nations 1985-2011; decoupling assessed directly; no technology indicator. Sociological",https://openalex.org/W2801506382,True
352,EX2,2015,Resources,163,10.3390/resources4010025,Possible Target Corridor for Sustainable Use of Global Material Resources,R2 material term + cross-national cue,"Bringezu 2015 target corridor for global material use; normative target-setting, not a decoupling/technology test",https://openalex.org/W2006713007,True
353,OFF,2022,International Journal for Crime Justice and Social Democracy,29,10.5204/ijcjsd.2191,A Post-Capitalocentric Critique of Digital Technology and Environmental Harm: New Directions at the Intersection of Digital and Green Criminology,R1 two+ pillars; R4 displacement term + cross-national cue,green criminology,https://openalex.org/W3207523174,True
354,PASS,2025,Pakistan journal of commerce and social sciences,4,10.64534/comm.2025.002,"Environmental Sustainability in Technologically Advanced Economies: The Role of Eco-Digitalization, Green Finance, and Green Technology",R1 two+ pillars,"19 technologically advanced economies 1980-2023: eco-digitalisation, green technology, green finance -> CO2 and EF (STIRPAT panel). Genre; low-tier journal",https://openalex.org/W4413636514,True
356,EX1,2023,Energies,59,10.3390/en16176198,"The Impact of Fossil Fuels, Renewable Energy, and Nuclear Energy on South Korea’s Environment Based on the STIRPAT Model: ARDL, FMOLS, and CCR Approaches",R1 two+ pillars,South Korea,https://openalex.org/W4386220198,True
358,PASS,2020,Environmental Sociology,41,10.1080/23251042.2020.1736364,"Gender inequality, reproductive justice, and decoupling economic growth and emissions: a panel analysis of the moderating association of gender equality on the relationship between economic growth and CO2 emissions",R2 material term + cross-national cue,"Environmental Sociology 2020: gender equality moderates growth-CO2 relation, 140 nations FE panel; decoupling assessed directly; no technology indicator",https://openalex.org/W3009243847,True
362,EX1,2023,Frontiers in Environmental Science,36,10.3389/fenvs.2023.1182055,"The influence of renewable and non-renewable energy on carbon emissions in Pakistan: evidence from stochastic impacts by regression on population, affluence, and technology model",R1 two+ pillars,Pakistan households,https://openalex.org/W4382775939,True
367,EX1,2020,Energies,55,10.3390/en13102600,Carbon Dioxide Emissions and Their Driving Forces of Land Use Change Based on Economic Contributive Coefficient (ECC) and Ecological Support Coefficient (ESC) in the Lower Yellow River Region (1995–2018),R1 two+ pillars,Yellow River cities,https://openalex.org/W3026374557,True
368,PASS,2023,Sustainability,12,10.3390/su15108043,Are Energy Reductions Compatible with Economic Growth?,R1 two+ pillars; R2 material term + cross-national cue,"Sustainability 2023 review: global decoupling prospects and ICT; argues no absolute decoupling at global level; CO2 and EF vs GDP. Review, global, decoupling directly",https://openalex.org/W4376958430,True
380,DISP,2020,Ecological Economics,69,10.1016/j.ecolecon.2020.106628,"Ecological macroeconomics in the open economy: Sustainability, unequal exchange and policy coordination in a center-periphery model",R4 displacement term + cross-national cue,Ecological Economics 2020: centre-periphery model with EUE and carbon constraint; model-based scenarios,https://openalex.org/W3010013823,True
381,THEORY,2019,Lund University Publications (Lund University),47,,"Nature, Society, and Justice in the Anthropocene: Unraveling the Money-Energy-Technology Complex",R4 displacement term + cross-national cue,Hornborg 2019 book (duplicate record),https://openalex.org/W2897462783,True
386,EX1,2019,Environmental Research Letters,30,10.1088/1748-9326/ab21e6,Smart gridlock? Challenging hegemonic framings of mitigation solutions and scalability,R1 two+ pillars,Bergen living lab,https://openalex.org/W2945925773,True
387,EX1,2023,Environmental Science and Pollution Research,49,10.1007/s11356-023-26051-z,Decoupling relationship between carbon emissions and economic development and prediction of carbon emissions in Henan Province: based on Tapio method and STIRPAT model,"R1 two+ pillars; R3 no abstract, material term in title",Henan,https://openalex.org/W4322217134,True
389,THEORY,2023,Ecological Economics,6,10.1016/j.ecolecon.2023.107997,Unpacking the black box of ‘energy technology’: How abstraction and resource fungibility obscure ecologically unequal exchange,R1 two+ pillars; R4 displacement term + cross-national cue,Hornborg 2023: energy technology and EUE,https://openalex.org/W4386990770,True
393,EX1,2017,Polish Journal of Environmental Studies,3,10.15244/pjoes/70402,Analysis of Influencing Factors of Ground-Source Heat Pump Applications in China Using Partial Least Squares Regression,R1 two+ pillars,China heat pumps,https://openalex.org/W2752221423,True
394,EX3,2023,Smart Tourism,3,10.54517/st.v4i2.2487,Are smart tourism destinations developing sustainably?,R1 two+ pillars; R2 material term + cross-national cue,smart tourism conceptual,https://openalex.org/W4392832044,True
395,OFF,2024,Degrowth Journal,3,10.36399/degrowth.002.01.02,To enjoy “less” more: Chastened humanism and degrowth,R1 two+ pillars; R2 material term + cross-national cue; R4 displacement term + cross-national cue,chastened humanism,https://openalex.org/W4393206506,True
398,OFF,2015,SOAS Research Online (SOAS University of London),47,10.13140/rg.2.1.3813.2965,The 3As: Tracking Resilience Across BRACED,R1 two+ pillars,BRACED resilience,https://openalex.org/W2965960474,True
402,OFF,2009,Critical Sociology,60,10.1177/0896920508099193,North—South Relations and the Ecological Debt: Asserting a Counter-Hegemonic Discourse,R4 displacement term + cross-national cue,ecological debt NGO discourse analysis,https://openalex.org/W2137540105,True
403,EX4,2014,Digital Commons - DU (University of Denver),4,,Foreign Investment in African Resources: The Ecological Aspect to Imperialism and Unequal Exchange,R1 two+ pillars; R2 material term + cross-national cue; R4 displacement term + cross-national cue,dissertation; Tanzania case,https://openalex.org/W2523304678,True
404,EX1,2024,Journal of Industrial Ecology,27,10.1111/jiec.13458,Australia's circular economy metrics and indicators,R1 two+ pillars,Australia MFA,https://openalex.org/W4390985384,True
